template_id,query_count,mae_ms,median_ae_ms,actual_median_ms,actual_max_ms
control_ch_district_anomaly,10,632.8819969726562,577.1039492187499,716.40525,831.318
control_ch_supplier_concentration,5,272.6540623046875,273.2048623046875,174.254,195.8905
control_ch_customer_rfm,4,175.22231213378907,176.83681787109376,374.51874999999995,375.665
control_ch_stockout_risk,7,126.02362102399555,132.60072875976562,105.42099999999999,137.894
control_ch_basket_affinity,8,117.63978593444824,122.01558807373047,70.97,93.7645
control_ch_product_pareto,5,96.28416376953126,72.31327880859374,419.515,521.0275
control_ch_demand_volatility,4,79.17261572265625,80.73902612304687,642.384,729.7964999999999
control_ch_warehouse_reconciliation,4,30.137894561767574,29.901430725097654,229.6835,249.8315
control_ch_order_gaps,9,18.037517449273,16.13488568115234,107.031,149.45350000000002
control_ch_cohort_retention,4,4.042809143066407,3.9016097106933607,57.1225,59.708999999999996
