fraction,mean_macro_normalized_mae,mean_macro_r2,worst_macro_normalized_mae
0.0,0.9359796257529892,-1.1057520347256853,1.0843568609689327
0.1,0.3662064669237382,0.6372285748349815,0.4040218252107306
0.25,0.375960059355905,0.5904452138093546,0.47291766660808726
0.5,0.3743220284785385,0.5913228703734882,0.4529433785309367
0.55,0.3882234147933518,0.5880336603510893,0.4430578002836733
0.6,0.393906295828643,0.5229082287139614,0.46380975298455224
0.65,0.37897865073201426,0.5735897705633187,0.42324887551107987
0.7,0.39288728807351275,0.5498888954353838,0.4382530972591235
0.75,0.37759790359359674,0.5796998279212026,0.4089759061533558
0.8,0.3902239641330532,0.5377998154279453,0.4330080774088796
0.85,0.3773720782421432,0.5567126057580759,0.40388093398500113
0.9,0.3843548710578737,0.5453458050210879,0.41505964314714755
1.0,0.37524618164277607,0.5640469724535448,0.4272592429929432
