template_id,query_count,mae_ms,median_ae_ms,actual_median_ms,actual_max_ms
control_ch_district_anomaly,10,632.6790054199219,773.8721962890625,716.40525,831.318
control_ch_supplier_concentration,5,250.70829204101565,251.25909204101563,174.254,195.8905
control_ch_demand_volatility,4,191.9312445678711,180.1035281982422,642.384,729.7964999999999
control_ch_basket_affinity,8,124.81413667297363,128.73126574707032,70.97,93.7645
control_ch_warehouse_reconciliation,4,94.16701800537109,92.42736596679688,229.6835,249.8315
control_ch_customer_rfm,4,90.0360633544922,88.8399383544922,374.51874999999995,375.665
control_ch_product_pareto,5,68.91350336914064,31.947614257812518,419.515,521.0275
control_ch_stockout_risk,7,47.4264944719587,46.24100256347657,105.42099999999999,137.894
control_ch_order_gaps,9,18.54397276475694,19.25031079101562,107.031,149.45350000000002
control_ch_cohort_retention,4,4.618802864074706,4.016249999999996,57.1225,59.708999999999996
